Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1615	2013	01	2.0	4.0	5.0	9.0	14.0	10.0	4.0	9.0	11.0	5.0	7.0	7.0	87.0
1615	2013	40	4.0	5.0	14.0	12.0	16.0	12.0	7.0	17.0	16.0	8.0	11.0	12.0	134.0
1617	2013	00	16.0	73.0	101.0	297.0	245.0	217.0	57.0	180.0	164.0	73.0	165.0	305.0	1893.0
1617	2013	01	3.0	4.0	10.0	10.0	14.0	10.0	7.0	12.0	13.0	7.0	10.0	9.0	109.0
1617	2013	40	3.0	4.0	10.0	10.0	14.0	10.0	7.0	12.0	13.0	7.0	10.0	9.0	109.0
1625	2013	00	3.0	46.2	47.3	445.4	177.4	204.7	59.3	104.5	144.6	16.5	133.2	212.7	1594.8
1625	2013	01	2.0	4.0	7.0	13.0	14.0	9.0	5.0	9.0	12.0	2.0	11.0	9.0	97.0
1625	2013	40	5.0	6.0	10.0	18.0	21.0	14.0	10.0	18.0	18.0	2.0	15.0	15.0	152.0
1664	2013	00	7.0	55.4	25.8	208.2	143.6	181.0	78.4	98.5	134.0	33.0	76.3	206.1	1247.3
1664	2013	01	1.0	3.0	5.0	-	10.0	9.0	6.0	10.0	11.0	6.0	6.0	10.0	-
1664	2013	40	2.0	3.0	7.0	-	11.0	11.0	8.0	16.0	15.0	9.0	10.0	15.0	-
1673	2013	00	14.0	10.9	7.2	115.6	106.1	101.0	56.6	92.6	127.6	24.0	92.0	161.8	909.4
1673	2013	01	2.0	3.0	4.0	8.0	9.0	9.0	6.0	9.0	11.0	6.0	9.0	10.0	86.0
1673	2013	40	2.0	4.0	6.0	11.0	13.0	11.0	11.0	17.0	16.0	10.0	12.0	10.0	123.0
1786	2013	00	21.6	58.7	28.5	147.5	128.5	154.1	48.5	85.0	294.0	50.0	86.5	184.0	1286.9
1786	2013	01	5.0	3.0	4.0	10.0	10.0	9.0	4.0	12.0	16.0	9.0	10.0	13.0	105.0
1786	2013	40	11.0	5.0	5.0	13.0	13.0	9.0	5.0	15.0	19.0	11.0	11.0	14.0	131.0
1857	2013	00	13.2	16.9	13.9	101.1	101.3	125.3	40.9	80.2	97.5	60.2	102.3	53.5	806.3
1857	2013	01	3.0	2.0	3.0	10.0	10.0	8.0	8.0	11.0	14.0	7.0	8.0	8.0	92.0
1857	2013	40	6.0	2.0	4.0	13.0	13.0	11.0	12.0	15.0	16.0	11.0	11.0	11.0	125.0
